jurisdiction,year,month,date,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,day_of_highest_count,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Yolo Sheriff's Department,2003,april,2003-04-01,Yolo County,06,113,06113,295,55,48,12,410,332,46,378,18,14,32,2003-04-01,445,NA,37,48,0,672,672,7,26,3,2,18,7,0,0,22,2,787,0,0,0,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2003,april,2003-04-01,Yuba County,06,115,06115,295,70,38,18,421,328,23,351,37,33,70,2003-04-18,444,2,63,20,0,1941,165,10,16,5,0,0,184,8,1,23,0,795,0,0,0,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2003,march,2003-03-01,Alameda County,06,001,06001,2720,302,900,198,4120,2838,821,3659,184,277,461,2003-03-18,4157,453,214,752,191,14798,721,77,207,15,41,13,279,671,3,42,3,4034,0,0,0,NA,NA,NA,NA,NA,NA,NA
Oakland Police Department,2003,march,2003-03-01,Alameda County,06,001,06001,80,15,0,0,95,44,NA,44,51,NA,51,2003-03-10,186,0,0,0,0,317,15,0,0,18,18,0,39,5,0,0,0,2706,0,0,0,NA,NA,NA,NA,NA,NA,NA
Amador Sheriff's Department,2003,march,2003-03-01,Amador County,06,005,06005,31,4,36,9,80,32,27,59,3,18,21,2003-03-10,91,4,4,4,0,186,9,2,0,0,5,0,0,0,2,4,0,143,0,4,0,NA,NA,NA,NA,NA,NA,NA
Butte Sheriff's Department,2003,march,2003-03-01,Butte County,06,007,06007,285,33,157,34,509,292,145,437,26,46,72,2003-03-17,526,NA,NA,NA,0,554,19,1,38,0,9,0,0,0,0,3,1,967,115,0,0,NA,NA,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2003,march,2003-03-01,Calaveras County,06,009,06009,46,8,19,2,75,43,18,61,11,3,14,2003-03-11,85,NA,NA,6,0,122,7,0,6,0,10,0,0,0,0,2,0,209,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2003,march,2003-03-01,Colusa County,06,011,06011,17,3,38,3,61,16,20,36,4,21,25,2003-03-15,69,3,4,4,0,104,15,0,9,0,0,0,0,0,15,4,0,89,0,0,0,NA,NA,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2003,march,2003-03-01,Contra Costa County,06,013,06013,928,146,511,62,1647,977,521,1498,97,52,149,2003-03-01,2448,143,228,174,53,720,444,56,153,64,22,0,0,0,0,47,3,2201,0,0,0,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2003,march,2003-03-01,Del Norte County,06,015,06015,38,19,49,26,132,30,52,82,27,23,50,2003-03-26,134,5,2,43,0,246,0,3,3,0,6,0,0,1.4,0,3,0,280,0,0,0,NA,NA,NA,NA,NA,NA,NA
