jurisdiction,year,quarter,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien
Merced Sheriff's Department,2019,3,Merced County,06,047,06047,0,110370,37788,28.3,21.1,36.9,NA,NA,NA,NA,NA
Modoc Sheriff's Department,2019,3,Modoc County,06,049,06049,4,9339,6213,105,76,29,NA,NA,NA,NA,NA
Mono Sheriff's Department,2019,3,Mono County,06,051,06051,1,13370,242,146,115,31,NA,NA,NA,NA,NA
Monterey Sheriff's Department,2019,3,Monterey County,06,053,06053,3,130000,46500,23.5,17,32.2,NA,NA,NA,NA,NA
Napa Corrections Department,2019,3,Napa County,06,055,06055,16,65666,24758,21,26,23,NA,NA,NA,NA,NA
Nevada Sheriff's Department,2019,3,Nevada County,06,057,06057,NA,45052,9639,15,NA,NA,NA,NA,NA,NA,NA
Orange Sheriff's Department,2019,3,Orange County,06,059,06059,15,1215081,249967,38.4,1.4,42.7,NA,NA,NA,NA,NA
Placer Sheriff's Department,2019,3,Placer County,06,061,06061,2,179540,51616,26.67,15.1,69.14999999999999,NA,NA,NA,NA,NA
Plumas Sheriff's Department,2019,3,Plumas County,06,063,06063,0,19899,2001,12.6,12.6,13,NA,NA,NA,NA,NA
Riverside Sheriff's Department,2019,3,Riverside County,06,065,06065,14,606371,484452,26,NA,NA,NA,NA,NA,NA,NA
Sacramento Sheriff's Department,2019,3,Sacramento County,06,067,06067,35,1016097,425197,39,29,66,NA,NA,NA,NA,NA
San Benito Sheriff's Department,2019,3,San Benito County,06,069,06069,0,31396,19386,20,13,38,NA,NA,NA,NA,NA
San Bernardino Sheriff's Department,2019,3,San Bernardino County,06,071,06071,35,NA,NA,115,122,114,NA,NA,NA,NA,NA
San Diego Sheriff's Department,2019,3,San Diego County,06,073,06073,30,1143254,150602,25.1,12.6,72.8,NA,NA,NA,NA,NA
San Diego Work Furlough,2019,3,San Diego County,06,073,06073,NA,NA,NA,74.3,73.7,81.4,NA,NA,NA,NA,NA
San Francisco Sheriff's Department,2019,3,San Francisco County,06,075,06075,7,956173,298516,25,14,63,NA,NA,NA,NA,NA
San Joaquin Sheriff's Department,2019,3,San Joaquin County,06,077,06077,NA,NA,NA,35,4,41,NA,NA,NA,NA,NA
San Luis Obispo Sheriff's Department,2019,3,San Luis Obispo County,06,079,06079,1,127584,46002,NA,NA,NA,NA,NA,NA,NA,NA
San Mateo Sheriff's Department,2019,3,San Mateo County,06,081,06081,9,487465,NA,25,6,63,NA,NA,NA,NA,NA
Santa Barbara Sheriff's Department,2019,3,Santa Barbara County,06,083,06083,2,83550,NA,26,NA,NA,NA,NA,NA,NA,NA
Santa Clara Sheriff's Office,2019,3,Santa Clara County,06,085,06085,36,653903,189375,29,39,100,NA,NA,NA,NA,NA
Santa Cruz Sheriff's Department,2019,3,Santa Cruz County,06,087,06087,3,40737,20020,NA,NA,NA,NA,NA,NA,NA,NA
Shasta Sheriff's Department,2019,3,Shasta County,06,089,06089,3,54617,17852,NA,NA,NA,NA,NA,NA,NA,NA
Siskiyou Sheriff's Department,2019,3,Siskiyou County,06,093,06093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solano Sheriff's Department,2019,3,Solano County,06,095,06095,26,198275,27402,21.8,5.4,82.4,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2019,3,Sonoma County,06,097,06097,6,230082,96749,22,10,52,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2019,3,Stanislaus County,06,099,06099,0,119264,32436,20,6,66,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2019,3,Sutter County,06,101,06101,6,49915,21833,NA,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2019,3,Tehama County,06,103,06103,2,60932,18104,19,NA,42,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2019,3,Trinity County,06,105,06105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2019,3,Tulare County,06,107,06107,9,334869,51328,28,17,70,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2019,3,Tuolumne County,06,109,06109,0,16223,3017,NA,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2019,3,Ventura County,06,111,06111,10,212252,37314,NA,NA,NA,NA,NA,NA,NA,NA
Yolo Sheriff's Department,2019,3,Yolo County,06,113,06113,10,64371,22869,NA,NA,NA,NA,NA,NA,NA,NA
Yuba Sheriff's Department,2019,3,Yuba County,06,115,06115,1,74438,27117,NA,NA,NA,NA,NA,NA,NA,NA
Alameda Sheriff's Department,2019,2,Alameda County,06,001,06001,25,369425,271547,26,21,62,NA,NA,NA,NA,NA
Amador Sheriff's Department,2019,2,Amador County,06,005,06005,4,27087,14224,26.939999999999998,4.75,70.22,NA,NA,NA,NA,NA
Butte Sheriff's Department,2019,2,Butte County,06,007,06007,0,19015,3092,10,4,27,NA,NA,NA,NA,NA
Calaveras Sheriff's Department,2019,2,Calaveras County,06,009,06009,0,7363,1736,NA,NA,NA,NA,NA,NA,NA,NA
Colusa Sheriff's Department,2019,2,Colusa County,06,011,06011,3,3725,1890,18.01,8.03,45.98,NA,NA,NA,NA,NA
Contra Costa Sheriff's Department,2019,2,Contra Costa County,06,013,06013,3,785231,601562,NA,NA,NA,NA,NA,NA,NA,NA
Del Norte Sheriff's Department,2019,2,Del Norte County,06,015,06015,0,10730,4226,11,3,34,NA,NA,NA,NA,NA
El Dorado Sheriff's Department,2019,2,El Dorado County,06,017,06017,1,44788,21495,22.6,8.4,63.7,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2019,2,Fresno County,06,019,06019,4,158635,21597,36.3,22.7,31.3,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2019,2,Glenn County,06,021,06021,2,3414,722,41,34,40,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2019,2,Humboldt County,06,023,06023,6,37820,23332,14.51,7.76,40.27,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2019,2,Imperial County,06,025,06025,1,28364,4979,NA,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2019,2,Inyo County,06,027,06027,0,25032,16850,173,NA,NA,NA,NA,NA,NA,NA
Kern Sheriff's Department,2019,2,Kern County,06,029,06029,4,356888,230737,26.150000000000002,16.18,36.349999999999994,NA,NA,NA,NA,NA
Kings Sheriff's Department,2019,2,Kings County,06,031,06031,7,51659,15904,32,10,74,NA,NA,NA,NA,NA
